over_bucket,wickets_bucket,run_pressure_bucket,elo_diff_bucket,total_samples,batting_team_wins,win_probability
1-3,0-1,first_innings,moderate_advantage,696,364,0.523
1-3,0-1,first_innings,moderate_disadvantage,717,333,0.4644
1-3,0-1,first_innings,neutral,926,398,0.4298
1-3,0-1,first_innings,strong_advantage,426,219,0.5141
1-3,0-1,first_innings,strong_disadvantage,392,166,0.4235
1-3,0-1,high,moderate_advantage,236,113,0.4788
1-3,0-1,high,moderate_disadvantage,219,98,0.4475
1-3,0-1,high,neutral,259,137,0.529
1-3,0-1,high,strong_advantage,130,81,0.6231
1-3,0-1,high,strong_disadvantage,120,52,0.4333
1-3,0-1,low,moderate_advantage,108,75,0.6944
1-3,0-1,low,moderate_disadvantage,109,75,0.6881
1-3,0-1,low,neutral,162,125,0.7716
1-3,0-1,low,strong_advantage,55,37,0.6727
1-3,0-1,low,strong_disadvantage,71,47,0.662
1-3,0-1,neutral,moderate_advantage,142,99,0.6972
1-3,0-1,neutral,moderate_disadvantage,143,86,0.6014
1-3,0-1,neutral,neutral,174,105,0.6034
1-3,0-1,neutral,strong_advantage,76,57,0.75
1-3,0-1,neutral,strong_disadvantage,79,48,0.6076
1-3,0-1,very_high,moderate_advantage,185,79,0.427
1-3,0-1,very_high,moderate_disadvantage,158,64,0.4051
1-3,0-1,very_high,neutral,223,96,0.4305
1-3,0-1,very_high,strong_advantage,95,31,0.3263
1-3,0-1,very_high,strong_disadvantage,96,29,0.3021
1-3,0-1,very_low,moderate_advantage,47,39,0.8298
1-3,0-1,very_low,moderate_disadvantage,30,18,0.6
1-3,0-1,very_low,neutral,97,83,0.8557
1-3,0-1,very_low,strong_advantage,28,22,0.7857
1-3,0-1,very_low,strong_disadvantage,41,38,0.9268
1-3,2-3,first_innings,moderate_advantage,39,11,0.2821
1-3,2-3,first_innings,moderate_disadvantage,50,20,0.4
1-3,2-3,first_innings,neutral,72,25,0.3472
1-3,2-3,first_innings,strong_advantage,24,9,0.375
1-3,2-3,first_innings,strong_disadvantage,27,11,0.4074
1-3,2-3,high,moderate_advantage,17,3,0.1765
1-3,2-3,high,moderate_disadvantage,25,5,0.2
1-3,2-3,high,neutral,24,11,0.4583
1-3,2-3,high,strong_advantage,8,5,0.625
1-3,2-3,high,strong_disadvantage,11,1,0.0909
1-3,2-3,low,moderate_advantage,2,1,0.5
1-3,2-3,low,moderate_disadvantage,5,4,0.8
1-3,2-3,low,neutral,4,3,0.75
1-3,2-3,low,strong_advantage,4,2,0.5
1-3,2-3,low,strong_disadvantage,3,3,1.0
1-3,2-3,neutral,moderate_advantage,4,2,0.5
1-3,2-3,neutral,moderate_disadvantage,10,5,0.5
1-3,2-3,neutral,neutral,14,7,0.5
1-3,2-3,neutral,strong_advantage,7,2,0.2857
1-3,2-3,neutral,strong_disadvantage,8,3,0.375
1-3,2-3,very_high,moderate_advantage,23,2,0.087
1-3,2-3,very_high,moderate_disadvantage,33,4,0.1212
1-3,2-3,very_high,neutral,42,9,0.2143
1-3,2-3,very_high,strong_advantage,17,6,0.3529
1-3,2-3,very_high,strong_disadvantage,20,0,0.0
1-3,2-3,very_low,moderate_advantage,1,0,0.0
1-3,2-3,very_low,moderate_disadvantage,1,1,1.0
1-3,2-3,very_low,strong_disadvantage,1,1,1.0
1-3,4-6,first_innings,moderate_disadvantage,1,1,1.0
1-3,4-6,first_innings,neutral,1,0,0.0
1-3,4-6,first_innings,strong_disadvantage,1,0,0.0
1-3,4-6,high,moderate_disadvantage,1,0,0.0
1-3,4-6,very_high,moderate_advantage,3,1,0.3333
1-3,4-6,very_high,moderate_disadvantage,1,0,0.0
11-15,0-1,first_innings,moderate_advantage,213,141,0.662
11-15,0-1,first_innings,moderate_disadvantage,198,105,0.5303
11-15,0-1,first_innings,neutral,224,151,0.6741
11-15,0-1,first_innings,strong_advantage,134,93,0.694
11-15,0-1,first_innings,strong_disadvantage,86,39,0.4535
11-15,0-1,high,moderate_advantage,27,23,0.8519
11-15,0-1,high,moderate_disadvantage,48,37,0.7708
11-15,0-1,high,neutral,35,26,0.7429
11-15,0-1,high,strong_advantage,13,10,0.7692
11-15,0-1,high,strong_disadvantage,19,12,0.6316
11-15,0-1,low,moderate_advantage,67,67,1.0
11-15,0-1,low,moderate_disadvantage,49,43,0.8776
11-15,0-1,low,neutral,78,75,0.9615
11-15,0-1,low,strong_advantage,33,33,1.0
11-15,0-1,low,strong_disadvantage,27,27,1.0
11-15,0-1,neutral,moderate_advantage,47,38,0.8085
11-15,0-1,neutral,moderate_disadvantage,69,60,0.8696
11-15,0-1,neutral,neutral,30,25,0.8333
11-15,0-1,neutral,strong_advantage,15,15,1.0
11-15,0-1,neutral,strong_disadvantage,28,25,0.8929
11-15,0-1,very_high,moderate_advantage,1,1,1.0
11-15,0-1,very_high,moderate_disadvantage,6,2,0.3333
11-15,0-1,very_high,neutral,5,0,0.0
11-15,0-1,very_high,strong_advantage,1,1,1.0
11-15,0-1,very_high,strong_disadvantage,2,2,1.0
11-15,0-1,very_low,moderate_advantage,50,50,1.0
11-15,0-1,very_low,moderate_disadvantage,20,20,1.0
11-15,0-1,very_low,neutral,59,59,1.0
11-15,0-1,very_low,strong_advantage,22,22,1.0
11-15,0-1,very_low,strong_disadvantage,24,24,1.0
11-15,2-3,first_innings,moderate_advantage,561,334,0.5954
11-15,2-3,first_innings,moderate_disadvantage,592,331,0.5591
11-15,2-3,first_innings,neutral,846,399,0.4716
11-15,2-3,first_innings,strong_advantage,411,220,0.5353
11-15,2-3,first_innings,strong_disadvantage,352,174,0.4943
11-15,2-3,high,moderate_advantage,186,93,0.5
11-15,2-3,high,moderate_disadvantage,166,72,0.4337
11-15,2-3,high,neutral,222,141,0.6351
11-15,2-3,high,strong_advantage,134,74,0.5522
11-15,2-3,high,strong_disadvantage,76,39,0.5132
11-15,2-3,low,moderate_advantage,80,72,0.9
11-15,2-3,low,moderate_disadvantage,101,92,0.9109
11-15,2-3,low,neutral,175,161,0.92
11-15,2-3,low,strong_advantage,70,67,0.9571
11-15,2-3,low,strong_disadvantage,62,58,0.9355
11-15,2-3,neutral,moderate_advantage,136,100,0.7353
11-15,2-3,neutral,moderate_disadvantage,108,73,0.6759
11-15,2-3,neutral,neutral,180,143,0.7944
11-15,2-3,neutral,strong_advantage,74,55,0.7432
11-15,2-3,neutral,strong_disadvantage,81,61,0.7531
11-15,2-3,very_high,moderate_advantage,109,39,0.3578
11-15,2-3,very_high,moderate_disadvantage,79,16,0.2025
11-15,2-3,very_high,neutral,119,28,0.2353
11-15,2-3,very_high,strong_advantage,52,5,0.0962
11-15,2-3,very_high,strong_disadvantage,59,3,0.0508
11-15,2-3,very_low,moderate_advantage,50,50,1.0
11-15,2-3,very_low,moderate_disadvantage,46,46,1.0
11-15,2-3,very_low,neutral,65,65,1.0
11-15,2-3,very_low,strong_advantage,34,34,1.0
11-15,2-3,very_low,strong_disadvantage,46,46,1.0
11-15,4-6,first_innings,moderate_advantage,419,149,0.3556
11-15,4-6,first_innings,moderate_disadvantage,463,149,0.3218
11-15,4-6,first_innings,neutral,554,153,0.2762
11-15,4-6,first_innings,strong_advantage,183,66,0.3607
11-15,4-6,first_innings,strong_disadvantage,235,72,0.3064
11-15,4-6,high,moderate_advantage,126,30,0.2381
11-15,4-6,high,moderate_disadvantage,126,43,0.3413
11-15,4-6,high,neutral,149,58,0.3893
11-15,4-6,high,strong_advantage,53,26,0.4906
11-15,4-6,high,strong_disadvantage,85,25,0.2941
11-15,4-6,low,moderate_advantage,27,27,1.0
11-15,4-6,low,moderate_disadvantage,19,12,0.6316
11-15,4-6,low,neutral,35,29,0.8286
11-15,4-6,low,strong_advantage,10,7,0.7
11-15,4-6,low,strong_disadvantage,8,7,0.875
11-15,4-6,neutral,moderate_advantage,43,25,0.5814
11-15,4-6,neutral,moderate_disadvantage,48,24,0.5
11-15,4-6,neutral,neutral,57,43,0.7544
11-15,4-6,neutral,strong_advantage,19,13,0.6842
11-15,4-6,neutral,strong_disadvantage,14,9,0.6429
11-15,4-6,very_high,moderate_advantage,241,26,0.1079
11-15,4-6,very_high,moderate_disadvantage,237,25,0.1055
11-15,4-6,very_high,neutral,301,47,0.1561
11-15,4-6,very_high,strong_advantage,126,23,0.1825
11-15,4-6,very_high,strong_disadvantage,158,0,0.0
11-15,4-6,very_low,moderate_advantage,29,29,1.0
11-15,4-6,very_low,moderate_disadvantage,22,21,0.9545
11-15,4-6,very_low,neutral,14,14,1.0
11-15,4-6,very_low,strong_advantage,1,1,1.0
11-15,4-6,very_low,strong_disadvantage,10,10,1.0
11-15,7+,first_innings,moderate_advantage,31,1,0.0323
11-15,7+,first_innings,moderate_disadvantage,22,0,0.0
11-15,7+,first_innings,neutral,38,2,0.0526
11-15,7+,first_innings,strong_advantage,17,1,0.0588
11-15,7+,first_innings,strong_disadvantage,22,5,0.2273
11-15,7+,high,moderate_disadvantage,8,0,0.0
11-15,7+,high,neutral,9,1,0.1111
11-15,7+,high,strong_advantage,4,0,0.0
11-15,7+,low,strong_advantage,4,0,0.0
11-15,7+,neutral,moderate_disadvantage,2,0,0.0
11-15,7+,neutral,neutral,1,0,0.0
11-15,7+,very_high,moderate_advantage,36,0,0.0
11-15,7+,very_high,moderate_disadvantage,52,0,0.0
11-15,7+,very_high,neutral,81,1,0.0123
11-15,7+,very_high,strong_advantage,9,0,0.0
11-15,7+,very_high,strong_disadvantage,28,0,0.0
16-20,0-1,first_innings,moderate_advantage,32,18,0.5625
16-20,0-1,first_innings,moderate_disadvantage,34,21,0.6176
16-20,0-1,first_innings,neutral,44,40,0.9091
16-20,0-1,first_innings,strong_advantage,18,15,0.8333
16-20,0-1,first_innings,strong_disadvantage,11,7,0.6364
16-20,0-1,high,moderate_disadvantage,2,2,1.0
16-20,0-1,high,neutral,1,0,0.0
16-20,0-1,high,strong_advantage,1,1,1.0
16-20,0-1,high,strong_disadvantage,1,0,0.0
16-20,0-1,low,moderate_advantage,12,12,1.0
16-20,0-1,low,moderate_disadvantage,11,11,1.0
16-20,0-1,low,neutral,1,1,1.0
16-20,0-1,low,strong_advantage,3,3,1.0
16-20,0-1,low,strong_disadvantage,7,5,0.7143
16-20,0-1,neutral,moderate_advantage,4,4,1.0
16-20,0-1,neutral,moderate_disadvantage,6,6,1.0
16-20,0-1,neutral,neutral,3,1,0.3333
16-20,0-1,neutral,strong_advantage,1,1,1.0
16-20,0-1,neutral,strong_disadvantage,3,3,1.0
16-20,0-1,very_low,moderate_advantage,28,28,1.0
16-20,0-1,very_low,moderate_disadvantage,18,18,1.0
16-20,0-1,very_low,neutral,18,18,1.0
16-20,0-1,very_low,strong_advantage,12,12,1.0
16-20,0-1,very_low,strong_disadvantage,12,12,1.0
16-20,2-3,first_innings,moderate_advantage,277,207,0.7473
16-20,2-3,first_innings,moderate_disadvantage,290,161,0.5552
16-20,2-3,first_innings,neutral,332,184,0.5542
16-20,2-3,first_innings,strong_advantage,203,119,0.5862
16-20,2-3,first_innings,strong_disadvantage,147,74,0.5034
16-20,2-3,high,moderate_advantage,25,17,0.68
16-20,2-3,high,moderate_disadvantage,32,22,0.6875
16-20,2-3,high,neutral,40,31,0.775
16-20,2-3,high,strong_advantage,17,13,0.7647
16-20,2-3,high,strong_disadvantage,18,14,0.7778
16-20,2-3,low,moderate_advantage,43,42,0.9767
16-20,2-3,low,moderate_disadvantage,50,47,0.94
16-20,2-3,low,neutral,63,61,0.9683
16-20,2-3,low,strong_advantage,21,21,1.0
16-20,2-3,low,strong_disadvantage,23,22,0.9565
16-20,2-3,neutral,moderate_advantage,37,29,0.7838
16-20,2-3,neutral,moderate_disadvantage,24,22,0.9167
16-20,2-3,neutral,neutral,25,25,1.0
16-20,2-3,neutral,strong_advantage,15,15,1.0
16-20,2-3,neutral,strong_disadvantage,10,9,0.9
16-20,2-3,very_high,moderate_advantage,16,10,0.625
16-20,2-3,very_high,moderate_disadvantage,25,8,0.32
16-20,2-3,very_high,neutral,23,7,0.3043
16-20,2-3,very_high,strong_advantage,17,6,0.3529
16-20,2-3,very_high,strong_disadvantage,24,5,0.2083
16-20,2-3,very_low,moderate_advantage,56,56,1.0
16-20,2-3,very_low,moderate_disadvantage,95,93,0.9789
16-20,2-3,very_low,neutral,119,118,0.9916
16-20,2-3,very_low,strong_advantage,48,47,0.9792
16-20,2-3,very_low,strong_disadvantage,47,47,1.0
16-20,4-6,first_innings,moderate_advantage,670,321,0.4791
16-20,4-6,first_innings,moderate_disadvantage,677,332,0.4904
16-20,4-6,first_innings,neutral,933,412,0.4416
16-20,4-6,first_innings,strong_advantage,394,201,0.5102
16-20,4-6,first_innings,strong_disadvantage,388,170,0.4381
16-20,4-6,high,moderate_advantage,80,41,0.5125
16-20,4-6,high,moderate_disadvantage,74,33,0.4459
16-20,4-6,high,neutral,87,62,0.7126
16-20,4-6,high,strong_advantage,54,33,0.6111
16-20,4-6,high,strong_disadvantage,50,21,0.42
16-20,4-6,low,moderate_advantage,43,41,0.9535
16-20,4-6,low,moderate_disadvantage,36,35,0.9722
16-20,4-6,low,neutral,67,66,0.9851
16-20,4-6,low,strong_advantage,23,22,0.9565
16-20,4-6,low,strong_disadvantage,25,25,1.0
16-20,4-6,neutral,moderate_advantage,35,29,0.8286
16-20,4-6,neutral,moderate_disadvantage,41,33,0.8049
16-20,4-6,neutral,neutral,55,47,0.8545
16-20,4-6,neutral,strong_advantage,31,27,0.871
16-20,4-6,neutral,strong_disadvantage,22,14,0.6364
16-20,4-6,very_high,moderate_advantage,239,48,0.2008
16-20,4-6,very_high,moderate_disadvantage,201,12,0.0597
16-20,4-6,very_high,neutral,274,60,0.219
16-20,4-6,very_high,strong_advantage,129,21,0.1628
16-20,4-6,very_high,strong_disadvantage,111,6,0.0541
16-20,4-6,very_low,moderate_advantage,132,112,0.8485
16-20,4-6,very_low,moderate_disadvantage,94,69,0.734
16-20,4-6,very_low,neutral,169,145,0.858
16-20,4-6,very_low,strong_advantage,67,53,0.791
16-20,4-6,very_low,strong_disadvantage,79,58,0.7342
16-20,7+,first_innings,moderate_advantage,222,75,0.3378
16-20,7+,first_innings,moderate_disadvantage,256,71,0.2773
16-20,7+,first_innings,neutral,321,64,0.1994
16-20,7+,first_innings,strong_advantage,122,42,0.3443
16-20,7+,first_innings,strong_disadvantage,137,35,0.2555
16-20,7+,high,moderate_advantage,9,1,0.1111
16-20,7+,high,moderate_disadvantage,16,3,0.1875
16-20,7+,high,neutral,10,3,0.3
16-20,7+,high,strong_advantage,7,2,0.2857
16-20,7+,high,strong_disadvantage,6,1,0.1667
16-20,7+,low,moderate_advantage,1,0,0.0
16-20,7+,low,moderate_disadvantage,9,4,0.4444
16-20,7+,low,neutral,6,6,1.0
16-20,7+,low,strong_advantage,5,4,0.8
16-20,7+,low,strong_disadvantage,2,2,1.0
16-20,7+,neutral,moderate_advantage,3,2,0.6667
16-20,7+,neutral,moderate_disadvantage,5,3,0.6
16-20,7+,neutral,neutral,5,4,0.8
16-20,7+,neutral,strong_advantage,1,1,1.0
16-20,7+,neutral,strong_disadvantage,1,0,0.0
16-20,7+,very_high,moderate_advantage,190,0,0.0
16-20,7+,very_high,moderate_disadvantage,205,9,0.0439
16-20,7+,very_high,neutral,258,9,0.0349
16-20,7+,very_high,strong_advantage,72,0,0.0
16-20,7+,very_high,strong_disadvantage,119,0,0.0
16-20,7+,very_low,moderate_advantage,84,8,0.0952
16-20,7+,very_low,moderate_disadvantage,82,15,0.1829
16-20,7+,very_low,neutral,97,18,0.1856
16-20,7+,very_low,strong_advantage,36,9,0.25
16-20,7+,very_low,strong_disadvantage,40,5,0.125
4-6,0-1,first_innings,moderate_advantage,507,300,0.5917
4-6,0-1,first_innings,moderate_disadvantage,516,261,0.5058
4-6,0-1,first_innings,neutral,686,330,0.481
4-6,0-1,first_innings,strong_advantage,339,185,0.5457
4-6,0-1,first_innings,strong_disadvantage,292,127,0.4349
4-6,0-1,high,moderate_advantage,160,88,0.55
4-6,0-1,high,moderate_disadvantage,134,59,0.4403
4-6,0-1,high,neutral,164,84,0.5122
4-6,0-1,high,strong_advantage,66,36,0.5455
4-6,0-1,high,strong_disadvantage,77,33,0.4286
4-6,0-1,low,moderate_advantage,128,109,0.8516
4-6,0-1,low,moderate_disadvantage,125,90,0.72
4-6,0-1,low,neutral,188,156,0.8298
4-6,0-1,low,strong_advantage,67,50,0.7463
4-6,0-1,low,strong_disadvantage,65,53,0.8154
4-6,0-1,neutral,moderate_advantage,156,101,0.6474
4-6,0-1,neutral,moderate_disadvantage,134,83,0.6194
4-6,0-1,neutral,neutral,162,113,0.6975
4-6,0-1,neutral,strong_advantage,84,61,0.7262
4-6,0-1,neutral,strong_disadvantage,88,53,0.6023
4-6,0-1,very_high,moderate_advantage,34,12,0.3529
4-6,0-1,very_high,moderate_disadvantage,33,8,0.2424
4-6,0-1,very_high,neutral,44,12,0.2727
4-6,0-1,very_high,strong_advantage,21,2,0.0952
4-6,0-1,very_high,strong_disadvantage,11,3,0.2727
4-6,0-1,very_low,moderate_advantage,50,47,0.94
4-6,0-1,very_low,moderate_disadvantage,32,27,0.8438
4-6,0-1,very_low,neutral,63,58,0.9206
4-6,0-1,very_low,strong_advantage,43,42,0.9767
4-6,0-1,very_low,strong_disadvantage,36,34,0.9444
4-6,2-3,first_innings,moderate_advantage,214,73,0.3411
4-6,2-3,first_innings,moderate_disadvantage,229,89,0.3886
4-6,2-3,first_innings,neutral,286,91,0.3182
4-6,2-3,first_innings,strong_advantage,100,41,0.41
4-6,2-3,first_innings,strong_disadvantage,121,47,0.3884
4-6,2-3,high,moderate_advantage,70,12,0.1714
4-6,2-3,high,moderate_disadvantage,88,29,0.3295
4-6,2-3,high,neutral,143,45,0.3147
4-6,2-3,high,strong_advantage,55,18,0.3273
4-6,2-3,high,strong_disadvantage,61,8,0.1311
4-6,2-3,low,moderate_advantage,26,19,0.7308
4-6,2-3,low,moderate_disadvantage,39,21,0.5385
4-6,2-3,low,neutral,45,34,0.7556
4-6,2-3,low,strong_advantage,13,8,0.6154
4-6,2-3,low,strong_disadvantage,17,11,0.6471
4-6,2-3,neutral,moderate_advantage,38,11,0.2895
4-6,2-3,neutral,moderate_disadvantage,54,25,0.463
4-6,2-3,neutral,neutral,67,39,0.5821
4-6,2-3,neutral,strong_advantage,30,17,0.5667
4-6,2-3,neutral,strong_disadvantage,33,16,0.4848
4-6,2-3,very_high,moderate_advantage,86,12,0.1395
4-6,2-3,very_high,moderate_disadvantage,67,11,0.1642
4-6,2-3,very_high,neutral,79,16,0.2025
4-6,2-3,very_high,strong_advantage,33,6,0.1818
4-6,2-3,very_high,strong_disadvantage,37,2,0.0541
4-6,2-3,very_low,moderate_advantage,3,0,0.0
4-6,2-3,very_low,moderate_disadvantage,5,5,1.0
4-6,2-3,very_low,neutral,14,14,1.0
4-6,2-3,very_low,strong_advantage,3,1,0.3333
4-6,2-3,very_low,strong_disadvantage,6,6,1.0
4-6,4-6,first_innings,moderate_advantage,14,2,0.1429
4-6,4-6,first_innings,moderate_disadvantage,23,4,0.1739
4-6,4-6,first_innings,neutral,27,2,0.0741
4-6,4-6,first_innings,strong_advantage,11,2,0.1818
4-6,4-6,first_innings,strong_disadvantage,7,3,0.4286
4-6,4-6,high,moderate_advantage,10,0,0.0
4-6,4-6,high,moderate_disadvantage,3,0,0.0
4-6,4-6,high,neutral,11,4,0.3636
4-6,4-6,high,strong_advantage,3,1,0.3333
4-6,4-6,high,strong_disadvantage,6,0,0.0
4-6,4-6,low,moderate_disadvantage,2,2,1.0
4-6,4-6,low,neutral,1,0,0.0
4-6,4-6,low,strong_disadvantage,2,2,1.0
4-6,4-6,neutral,moderate_advantage,1,0,0.0
4-6,4-6,neutral,moderate_disadvantage,3,0,0.0
4-6,4-6,neutral,neutral,9,1,0.1111
4-6,4-6,neutral,strong_disadvantage,2,0,0.0
4-6,4-6,very_high,moderate_advantage,6,3,0.5
4-6,4-6,very_high,moderate_disadvantage,16,0,0.0
4-6,4-6,very_high,neutral,9,0,0.0
4-6,4-6,very_high,strong_advantage,2,1,0.5
4-6,4-6,very_high,strong_disadvantage,8,0,0.0
4-6,4-6,very_low,strong_disadvantage,1,1,1.0
7-10,0-1,first_innings,moderate_advantage,395,249,0.6304
7-10,0-1,first_innings,moderate_disadvantage,391,213,0.5448
7-10,0-1,first_innings,neutral,508,283,0.5571
7-10,0-1,first_innings,strong_advantage,301,184,0.6113
7-10,0-1,first_innings,strong_disadvantage,226,105,0.4646
7-10,0-1,high,moderate_advantage,95,69,0.7263
7-10,0-1,high,moderate_disadvantage,107,57,0.5327
7-10,0-1,high,neutral,125,70,0.56
7-10,0-1,high,strong_advantage,39,18,0.4615
7-10,0-1,high,strong_disadvantage,57,39,0.6842
7-10,0-1,low,moderate_advantage,106,91,0.8585
7-10,0-1,low,moderate_disadvantage,84,68,0.8095
7-10,0-1,low,neutral,169,150,0.8876
7-10,0-1,low,strong_advantage,68,61,0.8971
7-10,0-1,low,strong_disadvantage,59,55,0.9322
7-10,0-1,neutral,moderate_advantage,140,109,0.7786
7-10,0-1,neutral,moderate_disadvantage,135,99,0.7333
7-10,0-1,neutral,neutral,86,57,0.6628
7-10,0-1,neutral,strong_advantage,96,71,0.7396
7-10,0-1,neutral,strong_disadvantage,60,41,0.6833
7-10,0-1,very_high,moderate_advantage,19,9,0.4737
7-10,0-1,very_high,moderate_disadvantage,27,7,0.2593
7-10,0-1,very_high,neutral,26,3,0.1154
7-10,0-1,very_high,strong_advantage,4,1,0.25
7-10,0-1,very_high,strong_disadvantage,9,3,0.3333
7-10,0-1,very_low,moderate_advantage,47,47,1.0
7-10,0-1,very_low,moderate_disadvantage,26,26,1.0
7-10,0-1,very_low,neutral,61,60,0.9836
7-10,0-1,very_low,strong_advantage,31,31,1.0
7-10,0-1,very_low,strong_disadvantage,27,27,1.0
7-10,2-3,first_innings,moderate_advantage,472,223,0.4725
7-10,2-3,first_innings,moderate_disadvantage,512,235,0.459
7-10,2-3,first_innings,neutral,645,257,0.3984
7-10,2-3,first_innings,strong_advantage,256,109,0.4258
7-10,2-3,first_innings,strong_disadvantage,274,114,0.4161
7-10,2-3,high,moderate_advantage,225,73,0.3244
7-10,2-3,high,moderate_disadvantage,176,71,0.4034
7-10,2-3,high,neutral,257,129,0.5019
7-10,2-3,high,strong_advantage,103,42,0.4078
7-10,2-3,high,strong_disadvantage,103,25,0.2427
7-10,2-3,low,moderate_advantage,70,54,0.7714
7-10,2-3,low,moderate_disadvantage,62,48,0.7742
7-10,2-3,low,neutral,124,109,0.879
7-10,2-3,low,strong_advantage,27,27,1.0
7-10,2-3,low,strong_disadvantage,35,30,0.8571
7-10,2-3,neutral,moderate_advantage,87,47,0.5402
7-10,2-3,neutral,moderate_disadvantage,114,54,0.4737
7-10,2-3,neutral,neutral,143,97,0.6783
7-10,2-3,neutral,strong_advantage,58,40,0.6897
7-10,2-3,neutral,strong_disadvantage,71,39,0.5493
7-10,2-3,very_high,moderate_advantage,91,16,0.1758
7-10,2-3,very_high,moderate_disadvantage,90,11,0.1222
7-10,2-3,very_high,neutral,113,20,0.177
7-10,2-3,very_high,strong_advantage,56,3,0.0536
7-10,2-3,very_high,strong_disadvantage,62,3,0.0484
7-10,2-3,very_low,moderate_advantage,25,22,0.88
7-10,2-3,very_low,moderate_disadvantage,13,13,1.0
7-10,2-3,very_low,neutral,26,26,1.0
7-10,2-3,very_low,strong_advantage,19,16,0.8421
7-10,2-3,very_low,strong_disadvantage,17,17,1.0
7-10,4-6,first_innings,moderate_advantage,110,28,0.2545
7-10,4-6,first_innings,moderate_disadvantage,119,24,0.2017
7-10,4-6,first_innings,neutral,179,24,0.1341
7-10,4-6,first_innings,strong_advantage,43,11,0.2558
7-10,4-6,first_innings,strong_disadvantage,56,15,0.2679
7-10,4-6,high,moderate_advantage,43,5,0.1163
7-10,4-6,high,moderate_disadvantage,48,4,0.0833
7-10,4-6,high,neutral,60,23,0.3833
7-10,4-6,high,strong_advantage,28,7,0.25
7-10,4-6,high,strong_disadvantage,37,8,0.2162
7-10,4-6,low,moderate_advantage,2,0,0.0
7-10,4-6,low,moderate_disadvantage,6,6,1.0
7-10,4-6,low,neutral,5,2,0.4
7-10,4-6,low,strong_advantage,2,1,0.5
7-10,4-6,low,strong_disadvantage,3,3,1.0
7-10,4-6,neutral,moderate_advantage,9,5,0.5556
7-10,4-6,neutral,moderate_disadvantage,11,2,0.1818
7-10,4-6,neutral,neutral,24,7,0.2917
7-10,4-6,neutral,strong_advantage,1,1,1.0
7-10,4-6,neutral,strong_disadvantage,4,1,0.25
7-10,4-6,very_high,moderate_advantage,60,4,0.0667
7-10,4-6,very_high,moderate_disadvantage,69,7,0.1014
7-10,4-6,very_high,neutral,95,6,0.0632
7-10,4-6,very_high,strong_advantage,23,4,0.1739
7-10,4-6,very_high,strong_disadvantage,48,1,0.0208
7-10,4-6,very_low,moderate_advantage,4,1,0.25
7-10,4-6,very_low,moderate_disadvantage,5,5,1.0
7-10,4-6,very_low,strong_advantage,2,0,0.0
7-10,4-6,very_low,strong_disadvantage,3,3,1.0
7-10,7+,first_innings,moderate_advantage,3,0,0.0
7-10,7+,first_innings,moderate_disadvantage,2,0,0.0
7-10,7+,first_innings,strong_disadvantage,2,0,0.0
7-10,7+,high,moderate_disadvantage,3,0,0.0
7-10,7+,high,neutral,1,0,0.0
7-10,7+,very_high,moderate_advantage,1,0,0.0
7-10,7+,very_high,moderate_disadvantage,2,0,0.0
7-10,7+,very_high,neutral,8,0,0.0
7-10,7+,very_high,strong_disadvantage,4,0,0.0
