over_bucket,wickets_bucket,run_pressure_bucket,elo_diff_bucket,sample_size,batting_team_wins,win_probability,standard_error,ci_lower_95,ci_upper_95,final_stabilized_probability,fallback_level
16-20,4-6,high,neutral,87,62,0.7126,0.048518,0.6175,0.8077,0.7126,1
16-20,4-6,high,strong_advantage,54,33,0.6111,0.06634,0.4811,0.7411,0.6111,1
16-20,4-6,high,strong_disadvantage,50,21,0.42,0.0698,0.2832,0.5568,0.42,1
16-20,4-6,low,moderate_advantage,43,41,0.9535,0.032111,0.8906,1.0,0.9742,2
16-20,4-6,low,moderate_disadvantage,36,35,0.9722,0.0274,0.9185,1.0,0.9742,2
16-20,4-6,low,neutral,67,66,0.9851,0.014801,0.9561,1.0,0.9851,1
16-20,4-6,low,strong_advantage,23,22,0.9565,0.042533,0.8731,1.0,0.9742,2
16-20,4-6,low,strong_disadvantage,25,25,1.0,0.0,1.0,1.0,0.9742,2
16-20,4-6,neutral,moderate_advantage,35,29,0.8286,0.063701,0.7037,0.9535,0.8152,2
16-20,4-6,neutral,moderate_disadvantage,41,33,0.8049,0.061888,0.6836,0.9262,0.8152,2
16-20,4-6,neutral,neutral,55,47,0.8545,0.047545,0.7613,0.9477,0.8545,1
16-20,4-6,neutral,strong_advantage,31,27,0.871,0.060204,0.753,0.989,0.8152,2
16-20,4-6,neutral,strong_disadvantage,22,14,0.6364,0.102557,0.4354,0.8374,0.8152,2
16-20,4-6,very_high,moderate_advantage,239,48,0.2008,0.025913,0.15,0.2516,0.2008,1
16-20,4-6,very_high,moderate_disadvantage,201,12,0.0597,0.016712,0.0269,0.0925,0.0597,1
16-20,4-6,very_high,neutral,274,60,0.219,0.024985,0.17,0.268,0.219,1
16-20,4-6,very_high,strong_advantage,129,21,0.1628,0.032505,0.0991,0.2265,0.1628,1
16-20,4-6,very_high,strong_disadvantage,111,6,0.0541,0.021471,0.012,0.0962,0.0541,1
16-20,4-6,very_low,moderate_advantage,132,112,0.8485,0.031207,0.7873,0.9097,0.8485,1
16-20,4-6,very_low,moderate_disadvantage,94,69,0.734,0.045575,0.6447,0.8233,0.734,1
16-20,4-6,very_low,neutral,169,145,0.858,0.02685,0.8054,0.9106,0.858,1
16-20,4-6,very_low,strong_advantage,67,53,0.791,0.049673,0.6936,0.8884,0.791,1
16-20,4-6,very_low,strong_disadvantage,79,58,0.7342,0.049702,0.6368,0.8316,0.7342,1
16-20,7+,first_innings,moderate_advantage,222,75,0.3378,0.031743,0.2756,0.4,0.3378,1
16-20,7+,first_innings,moderate_disadvantage,256,71,0.2773,0.027979,0.2225,0.3321,0.2773,1
16-20,7+,first_innings,neutral,321,64,0.1994,0.022301,0.1557,0.2431,0.1994,1
16-20,7+,first_innings,strong_advantage,122,42,0.3443,0.043017,0.26,0.4286,0.3443,1
16-20,7+,first_innings,strong_disadvantage,137,35,0.2555,0.037262,0.1825,0.3285,0.2555,1
16-20,7+,high,moderate_advantage,9,1,0.1111,0.104752,0.0,0.3164,0.1702,3
16-20,7+,high,moderate_disadvantage,16,3,0.1875,0.097578,0.0,0.3788,0.1702,3
16-20,7+,high,neutral,10,3,0.3,0.144914,0.016,0.584,0.1702,3
16-20,7+,high,strong_advantage,7,2,0.2857,0.170744,0.0,0.6204,0.1702,3
16-20,7+,high,strong_disadvantage,6,1,0.1667,0.152157,0.0,0.4649,0.1702,3
16-20,7+,low,moderate_advantage,1,0,0.0,0.0,0.0,0.0,0.1702,3
16-20,7+,low,moderate_disadvantage,9,4,0.4444,0.165633,0.1198,0.769,0.1702,3
16-20,7+,low,neutral,6,6,1.0,0.0,1.0,1.0,0.1702,3
16-20,7+,low,strong_advantage,5,4,0.8,0.178885,0.4494,1.0,0.1702,3
16-20,7+,low,strong_disadvantage,2,2,1.0,0.0,1.0,1.0,0.1702,3
16-20,7+,neutral,moderate_advantage,3,2,0.6667,0.272159,0.1333,1.0,0.1702,3
16-20,7+,neutral,moderate_disadvantage,5,3,0.6,0.219089,0.1706,1.0,0.1702,3
16-20,7+,neutral,neutral,5,4,0.8,0.178885,0.4494,1.0,0.1702,3
16-20,7+,neutral,strong_advantage,1,1,1.0,0.0,1.0,1.0,0.1702,3
16-20,7+,neutral,strong_disadvantage,1,0,0.0,0.0,0.0,0.0,0.1702,3
16-20,7+,very_high,moderate_advantage,190,0,0.0,0.0,0.0,0.0,0.0,1
16-20,7+,very_high,moderate_disadvantage,205,9,0.0439,0.014309,0.0159,0.0719,0.0439,1
16-20,7+,very_high,neutral,258,9,0.0349,0.011426,0.0125,0.0573,0.0349,1
16-20,7+,very_high,strong_advantage,72,0,0.0,0.0,0.0,0.0,0.0,1
16-20,7+,very_high,strong_disadvantage,119,0,0.0,0.0,0.0,0.0,0.0,1
16-20,7+,very_low,moderate_advantage,84,8,0.0952,0.032022,0.0324,0.158,0.0952,1
16-20,7+,very_low,moderate_disadvantage,82,15,0.1829,0.042691,0.0992,0.2666,0.1829,1
16-20,7+,very_low,neutral,97,18,0.1856,0.039475,0.1082,0.263,0.1856,1
16-20,7+,very_low,strong_advantage,36,9,0.25,0.072169,0.1085,0.3915,0.1622,2
16-20,7+,very_low,strong_disadvantage,40,5,0.125,0.052291,0.0225,0.2275,0.1622,2
4-6,0-1,first_innings,moderate_advantage,507,300,0.5917,0.021829,0.5489,0.6345,0.5917,1
4-6,0-1,first_innings,moderate_disadvantage,516,261,0.5058,0.02201,0.4627,0.5489,0.5058,1
4-6,0-1,first_innings,neutral,686,330,0.481,0.019076,0.4436,0.5184,0.481,1
4-6,0-1,first_innings,strong_advantage,339,185,0.5457,0.027043,0.4927,0.5987,0.5457,1
4-6,0-1,first_innings,strong_disadvantage,292,127,0.4349,0.029011,0.378,0.4918,0.4349,1
4-6,0-1,high,moderate_advantage,160,88,0.55,0.03933,0.4729,0.6271,0.55,1
4-6,0-1,high,moderate_disadvantage,134,59,0.4403,0.042884,0.3562,0.5244,0.4403,1
4-6,0-1,high,neutral,164,84,0.5122,0.039032,0.4357,0.5887,0.5122,1
4-6,0-1,high,strong_advantage,66,36,0.5455,0.06129,0.4254,0.6656,0.5455,1
4-6,0-1,high,strong_disadvantage,77,33,0.4286,0.056396,0.3181,0.5391,0.4286,1
4-6,0-1,low,moderate_advantage,128,109,0.8516,0.031422,0.79,0.9132,0.8516,1
4-6,0-1,low,moderate_disadvantage,125,90,0.72,0.04016,0.6413,0.7987,0.72,1
4-6,0-1,low,neutral,188,156,0.8298,0.027409,0.7761,0.8835,0.8298,1
4-6,0-1,low,strong_advantage,67,50,0.7463,0.053159,0.6421,0.8505,0.7463,1
4-6,0-1,low,strong_disadvantage,65,53,0.8154,0.048122,0.7211,0.9097,0.8154,1
4-6,0-1,neutral,moderate_advantage,156,101,0.6474,0.038253,0.5724,0.7224,0.6474,1
4-6,0-1,neutral,moderate_disadvantage,134,83,0.6194,0.041944,0.5372,0.7016,0.6194,1
4-6,0-1,neutral,neutral,162,113,0.6975,0.036089,0.6268,0.7682,0.6975,1
4-6,0-1,neutral,strong_advantage,84,61,0.7262,0.048653,0.6308,0.8216,0.7262,1
4-6,0-1,neutral,strong_disadvantage,88,53,0.6023,0.052173,0.5,0.7046,0.6023,1
4-6,0-1,very_high,moderate_advantage,34,12,0.3529,0.081954,0.1923,0.5135,0.2587,2
4-6,0-1,very_high,moderate_disadvantage,33,8,0.2424,0.074598,0.0962,0.3886,0.2587,2
4-6,0-1,very_high,neutral,44,12,0.2727,0.067139,0.1411,0.4043,0.2587,2
4-6,0-1,very_high,strong_advantage,21,2,0.0952,0.064045,0.0,0.2207,0.2587,2
4-6,0-1,very_high,strong_disadvantage,11,3,0.2727,0.134277,0.0095,0.5359,0.2587,2
4-6,0-1,very_low,moderate_advantage,50,47,0.94,0.033586,0.8742,1.0,0.94,1
4-6,0-1,very_low,moderate_disadvantage,32,27,0.8438,0.064178,0.718,0.9696,0.9286,2
4-6,0-1,very_low,neutral,63,58,0.9206,0.034062,0.8538,0.9874,0.9206,1
4-6,0-1,very_low,strong_advantage,43,42,0.9767,0.023005,0.9316,1.0,0.9286,2
4-6,0-1,very_low,strong_disadvantage,36,34,0.9444,0.038191,0.8695,1.0,0.9286,2
4-6,2-3,first_innings,moderate_advantage,214,73,0.3411,0.032407,0.2776,0.4046,0.3411,1
4-6,2-3,first_innings,moderate_disadvantage,229,89,0.3886,0.03221,0.3255,0.4517,0.3886,1
4-6,2-3,first_innings,neutral,286,91,0.3182,0.027542,0.2642,0.3722,0.3182,1
4-6,2-3,first_innings,strong_advantage,100,41,0.41,0.049183,0.3136,0.5064,0.41,1
4-6,2-3,first_innings,strong_disadvantage,121,47,0.3884,0.044308,0.3016,0.4752,0.3884,1
4-6,2-3,high,moderate_advantage,70,12,0.1714,0.045043,0.0831,0.2597,0.1714,1
4-6,2-3,high,moderate_disadvantage,88,29,0.3295,0.050106,0.2313,0.4277,0.3295,1
4-6,2-3,high,neutral,143,45,0.3147,0.038835,0.2386,0.3908,0.3147,1
4-6,2-3,high,strong_advantage,55,18,0.3273,0.063271,0.2033,0.4513,0.3273,1
4-6,2-3,high,strong_disadvantage,61,8,0.1311,0.043214,0.0464,0.2158,0.1311,1
4-6,2-3,low,moderate_advantage,26,19,0.7308,0.086986,0.5603,0.9013,0.6643,2
4-6,2-3,low,moderate_disadvantage,39,21,0.5385,0.079826,0.382,0.695,0.6643,2
4-6,2-3,low,neutral,45,34,0.7556,0.06406,0.63,0.8812,0.6643,2
4-6,2-3,low,strong_advantage,13,8,0.6154,0.134931,0.3509,0.8799,0.6643,2
4-6,2-3,low,strong_disadvantage,17,11,0.6471,0.115901,0.4199,0.8743,0.6643,2
4-6,2-3,neutral,moderate_advantage,38,11,0.2895,0.073572,0.1453,0.4337,0.4865,2
4-6,2-3,neutral,moderate_disadvantage,54,25,0.463,0.067855,0.33,0.596,0.463,1
4-6,2-3,neutral,neutral,67,39,0.5821,0.060256,0.464,0.7002,0.5821,1
4-6,2-3,neutral,strong_advantage,30,17,0.5667,0.090471,0.3894,0.744,0.4865,2
4-6,2-3,neutral,strong_disadvantage,33,16,0.4848,0.086999,0.3143,0.6553,0.4865,2
4-6,2-3,very_high,moderate_advantage,86,12,0.1395,0.037361,0.0663,0.2127,0.1395,1
4-6,2-3,very_high,moderate_disadvantage,67,11,0.1642,0.045259,0.0755,0.2529,0.1642,1
4-6,2-3,very_high,neutral,79,16,0.2025,0.045213,0.1139,0.2911,0.2025,1
4-6,2-3,very_high,strong_advantage,33,6,0.1818,0.067138,0.0502,0.3134,0.1556,2
4-6,2-3,very_high,strong_disadvantage,37,2,0.0541,0.03719,0.0,0.127,0.1556,2
4-6,2-3,very_low,moderate_advantage,3,0,0.0,0.0,0.0,0.0,0.3526,3
4-6,2-3,very_low,moderate_disadvantage,5,5,1.0,0.0,1.0,1.0,0.3526,3
4-6,2-3,very_low,neutral,14,14,1.0,0.0,1.0,1.0,0.3526,3
4-6,2-3,very_low,strong_advantage,3,1,0.3333,0.272159,0.0,0.8667,0.3526,3
4-6,2-3,very_low,strong_disadvantage,6,6,1.0,0.0,1.0,1.0,0.3526,3
4-6,4-6,first_innings,moderate_advantage,14,2,0.1429,0.093534,0.0,0.3262,0.1585,2
4-6,4-6,first_innings,moderate_disadvantage,23,4,0.1739,0.079032,0.019,0.3288,0.1585,2
4-6,4-6,first_innings,neutral,27,2,0.0741,0.050409,0.0,0.1729,0.1585,2
4-6,4-6,first_innings,strong_advantage,11,2,0.1818,0.116287,0.0,0.4097,0.1585,2
4-6,4-6,first_innings,strong_disadvantage,7,3,0.4286,0.187045,0.062,0.7952,0.1585,2
4-6,4-6,high,moderate_advantage,10,0,0.0,0.0,0.0,0.0,0.1582,3
4-6,4-6,high,moderate_disadvantage,3,0,0.0,0.0,0.0,0.0,0.1582,3
4-6,4-6,high,neutral,11,4,0.3636,0.145038,0.0793,0.6479,0.1582,3
4-6,4-6,high,strong_advantage,3,1,0.3333,0.272159,0.0,0.8667,0.1582,3
4-6,4-6,high,strong_disadvantage,6,0,0.0,0.0,0.0,0.0,0.1582,3
4-6,4-6,low,moderate_disadvantage,2,2,1.0,0.0,1.0,1.0,0.1582,3
4-6,4-6,low,neutral,1,0,0.0,0.0,0.0,0.0,0.1582,3
4-6,4-6,low,strong_disadvantage,2,2,1.0,0.0,1.0,1.0,0.1582,3
4-6,4-6,neutral,moderate_advantage,1,0,0.0,0.0,0.0,0.0,0.1582,3
4-6,4-6,neutral,moderate_disadvantage,3,0,0.0,0.0,0.0,0.0,0.1582,3
4-6,4-6,neutral,neutral,9,1,0.1111,0.104752,0.0,0.3164,0.1582,3
4-6,4-6,neutral,strong_disadvantage,2,0,0.0,0.0,0.0,0.0,0.1582,3
4-6,4-6,very_high,moderate_advantage,6,3,0.5,0.204124,0.0999,0.9001,0.1582,3
4-6,4-6,very_high,moderate_disadvantage,16,0,0.0,0.0,0.0,0.0,0.1582,3
4-6,4-6,very_high,neutral,9,0,0.0,0.0,0.0,0.0,0.1582,3
4-6,4-6,very_high,strong_advantage,2,1,0.5,0.353553,0.0,1.0,0.1582,3
4-6,4-6,very_high,strong_disadvantage,8,0,0.0,0.0,0.0,0.0,0.1582,3
4-6,4-6,very_low,strong_disadvantage,1,1,1.0,0.0,1.0,1.0,0.1582,3
7-10,0-1,first_innings,moderate_advantage,395,249,0.6304,0.024287,0.5828,0.678,0.6304,1
7-10,0-1,first_innings,moderate_disadvantage,391,213,0.5448,0.025184,0.4954,0.5942,0.5448,1
7-10,0-1,first_innings,neutral,508,283,0.5571,0.022039,0.5139,0.6003,0.5571,1
7-10,0-1,first_innings,strong_advantage,301,184,0.6113,0.028096,0.5562,0.6664,0.6113,1
7-10,0-1,first_innings,strong_disadvantage,226,105,0.4646,0.033176,0.3996,0.5296,0.4646,1
7-10,0-1,high,moderate_advantage,95,69,0.7263,0.045744,0.6366,0.816,0.7263,1
7-10,0-1,high,moderate_disadvantage,107,57,0.5327,0.048233,0.4382,0.6272,0.5327,1
7-10,0-1,high,neutral,125,70,0.56,0.044398,0.473,0.647,0.56,1
7-10,0-1,high,strong_advantage,39,18,0.4615,0.079826,0.305,0.618,0.5981,2
7-10,0-1,high,strong_disadvantage,57,39,0.6842,0.061569,0.5635,0.8049,0.6842,1
7-10,0-1,low,moderate_advantage,106,91,0.8585,0.033853,0.7921,0.9249,0.8585,1
7-10,0-1,low,moderate_disadvantage,84,68,0.8095,0.042847,0.7255,0.8935,0.8095,1
7-10,0-1,low,neutral,169,150,0.8876,0.024297,0.84,0.9352,0.8876,1
7-10,0-1,low,strong_advantage,68,61,0.8971,0.036845,0.8249,0.9693,0.8971,1
7-10,0-1,low,strong_disadvantage,59,55,0.9322,0.03273,0.868,0.9964,0.9322,1
7-10,0-1,neutral,moderate_advantage,140,109,0.7786,0.03509,0.7098,0.8474,0.7786,1
7-10,0-1,neutral,moderate_disadvantage,135,99,0.7333,0.038061,0.6587,0.8079,0.7333,1
7-10,0-1,neutral,neutral,86,57,0.6628,0.050978,0.5629,0.7627,0.6628,1
7-10,0-1,neutral,strong_advantage,96,71,0.7396,0.04479,0.6518,0.8274,0.7396,1
7-10,0-1,neutral,strong_disadvantage,60,41,0.6833,0.060056,0.5656,0.801,0.6833,1
7-10,0-1,very_high,moderate_advantage,19,9,0.4737,0.114549,0.2492,0.6982,0.2706,2
7-10,0-1,very_high,moderate_disadvantage,27,7,0.2593,0.084341,0.094,0.4246,0.2706,2
7-10,0-1,very_high,neutral,26,3,0.1154,0.06266,0.0,0.2382,0.2706,2
7-10,0-1,very_high,strong_advantage,4,1,0.25,0.216506,0.0,0.6744,0.2706,2
7-10,0-1,very_high,strong_disadvantage,9,3,0.3333,0.157131,0.0253,0.6413,0.2706,2
7-10,0-1,very_low,moderate_advantage,47,47,1.0,0.0,1.0,1.0,0.9948,2
7-10,0-1,very_low,moderate_disadvantage,26,26,1.0,0.0,1.0,1.0,0.9948,2
7-10,0-1,very_low,neutral,61,60,0.9836,0.016262,0.9517,1.0,0.9836,1
7-10,0-1,very_low,strong_advantage,31,31,1.0,0.0,1.0,1.0,0.9948,2
7-10,0-1,very_low,strong_disadvantage,27,27,1.0,0.0,1.0,1.0,0.9948,2
7-10,2-3,first_innings,moderate_advantage,472,223,0.4725,0.02298,0.4275,0.5175,0.4725,1
7-10,2-3,first_innings,moderate_disadvantage,512,235,0.459,0.022023,0.4158,0.5022,0.459,1
7-10,2-3,first_innings,neutral,645,257,0.3984,0.019277,0.3606,0.4362,0.3984,1
7-10,2-3,first_innings,strong_advantage,256,109,0.4258,0.030904,0.3652,0.4864,0.4258,1
7-10,2-3,first_innings,strong_disadvantage,274,114,0.4161,0.029778,0.3577,0.4745,0.4161,1
7-10,2-3,high,moderate_advantage,225,73,0.3244,0.03121,0.2632,0.3856,0.3244,1
7-10,2-3,high,moderate_disadvantage,176,71,0.4034,0.036979,0.3309,0.4759,0.4034,1
7-10,2-3,high,neutral,257,129,0.5019,0.031189,0.4408,0.563,0.5019,1
7-10,2-3,high,strong_advantage,103,42,0.4078,0.048422,0.3129,0.5027,0.4078,1
7-10,2-3,high,strong_disadvantage,103,25,0.2427,0.042243,0.1599,0.3255,0.2427,1
7-10,2-3,low,moderate_advantage,70,54,0.7714,0.050191,0.673,0.8698,0.7714,1
7-10,2-3,low,moderate_disadvantage,62,48,0.7742,0.0531,0.6701,0.8783,0.7742,1
7-10,2-3,low,neutral,124,109,0.879,0.029287,0.8216,0.9364,0.879,1
7-10,2-3,low,strong_advantage,27,27,1.0,0.0,1.0,1.0,0.8428,2
7-10,2-3,low,strong_disadvantage,35,30,0.8571,0.059156,0.7412,0.973,0.8428,2
7-10,2-3,neutral,moderate_advantage,87,47,0.5402,0.053432,0.4355,0.6449,0.5402,1
7-10,2-3,neutral,moderate_disadvantage,114,54,0.4737,0.046764,0.382,0.5654,0.4737,1
7-10,2-3,neutral,neutral,143,97,0.6783,0.039063,0.6017,0.7549,0.6783,1
7-10,2-3,neutral,strong_advantage,58,40,0.6897,0.060745,0.5706,0.8088,0.6897,1
7-10,2-3,neutral,strong_disadvantage,71,39,0.5493,0.05905,0.4336,0.665,0.5493,1
7-10,2-3,very_high,moderate_advantage,91,16,0.1758,0.039903,0.0976,0.254,0.1758,1
7-10,2-3,very_high,moderate_disadvantage,90,11,0.1222,0.034523,0.0545,0.1899,0.1222,1
7-10,2-3,very_high,neutral,113,20,0.177,0.035904,0.1066,0.2474,0.177,1
7-10,2-3,very_high,strong_advantage,56,3,0.0536,0.030097,0.0,0.1126,0.0536,1
7-10,2-3,very_high,strong_disadvantage,62,3,0.0484,0.027255,0.0,0.1018,0.0484,1
7-10,2-3,very_low,moderate_advantage,25,22,0.88,0.064992,0.7526,1.0,0.94,2
7-10,2-3,very_low,moderate_disadvantage,13,13,1.0,0.0,1.0,1.0,0.94,2
7-10,2-3,very_low,neutral,26,26,1.0,0.0,1.0,1.0,0.94,2
7-10,2-3,very_low,strong_advantage,19,16,0.8421,0.083656,0.6781,1.0,0.94,2
7-10,2-3,very_low,strong_disadvantage,17,17,1.0,0.0,1.0,1.0,0.94,2
7-10,4-6,first_innings,moderate_advantage,110,28,0.2545,0.041531,0.1731,0.3359,0.2545,1
7-10,4-6,first_innings,moderate_disadvantage,119,24,0.2017,0.036784,0.1296,0.2738,0.2017,1
7-10,4-6,first_innings,neutral,179,24,0.1341,0.02547,0.0842,0.184,0.1341,1
7-10,4-6,first_innings,strong_advantage,43,11,0.2558,0.066537,0.1254,0.3862,0.2012,2
7-10,4-6,first_innings,strong_disadvantage,56,15,0.2679,0.05918,0.1519,0.3839,0.2679,1
7-10,4-6,high,moderate_advantage,43,5,0.1163,0.048889,0.0205,0.2121,0.2176,2
7-10,4-6,high,moderate_disadvantage,48,4,0.0833,0.039886,0.0051,0.1615,0.2176,2
7-10,4-6,high,neutral,60,23,0.3833,0.062767,0.2603,0.5063,0.3833,1
7-10,4-6,high,strong_advantage,28,7,0.25,0.081832,0.0896,0.4104,0.2176,2
7-10,4-6,high,strong_disadvantage,37,8,0.2162,0.067675,0.0836,0.3488,0.2176,2
7-10,4-6,low,moderate_advantage,2,0,0.0,0.0,0.0,0.0,0.1893,3
7-10,4-6,low,moderate_disadvantage,6,6,1.0,0.0,1.0,1.0,0.1893,3
7-10,4-6,low,neutral,5,2,0.4,0.219089,0.0,0.8294,0.1893,3
7-10,4-6,low,strong_advantage,2,1,0.5,0.353553,0.0,1.0,0.1893,3
7-10,4-6,low,strong_disadvantage,3,3,1.0,0.0,1.0,1.0,0.1893,3
7-10,4-6,neutral,moderate_advantage,9,5,0.5556,0.165633,0.231,0.8802,0.1893,3
7-10,4-6,neutral,moderate_disadvantage,11,2,0.1818,0.116287,0.0,0.4097,0.1893,3
7-10,4-6,neutral,neutral,24,7,0.2917,0.092784,0.1098,0.4736,0.1893,3
7-10,4-6,neutral,strong_advantage,1,1,1.0,0.0,1.0,1.0,0.1893,3
7-10,4-6,neutral,strong_disadvantage,4,1,0.25,0.216506,0.0,0.6744,0.1893,3
7-10,4-6,very_high,moderate_advantage,60,4,0.0667,0.032211,0.0036,0.1298,0.0667,1
7-10,4-6,very_high,moderate_disadvantage,69,7,0.1014,0.036339,0.0302,0.1726,0.1014,1
7-10,4-6,very_high,neutral,95,6,0.0632,0.024964,0.0143,0.1121,0.0632,1
7-10,4-6,very_high,strong_advantage,23,4,0.1739,0.079032,0.019,0.3288,0.0746,2
7-10,4-6,very_high,strong_disadvantage,48,1,0.0208,0.020599,0.0,0.0612,0.0746,2
7-10,4-6,very_low,moderate_advantage,4,1,0.25,0.216506,0.0,0.6744,0.1893,3
7-10,4-6,very_low,moderate_disadvantage,5,5,1.0,0.0,1.0,1.0,0.1893,3
7-10,4-6,very_low,strong_advantage,2,0,0.0,0.0,0.0,0.0,0.1893,3
7-10,4-6,very_low,strong_disadvantage,3,3,1.0,0.0,1.0,1.0,0.1893,3
7-10,7+,first_innings,moderate_advantage,3,0,0.0,0.0,0.0,0.0,0.4993,4
7-10,7+,first_innings,moderate_disadvantage,2,0,0.0,0.0,0.0,0.0,0.4993,4
7-10,7+,first_innings,strong_disadvantage,2,0,0.0,0.0,0.0,0.0,0.4993,4
7-10,7+,high,moderate_disadvantage,3,0,0.0,0.0,0.0,0.0,0.4993,4
7-10,7+,high,neutral,1,0,0.0,0.0,0.0,0.0,0.4993,4
7-10,7+,very_high,moderate_advantage,1,0,0.0,0.0,0.0,0.0,0.4993,4
7-10,7+,very_high,moderate_disadvantage,2,0,0.0,0.0,0.0,0.0,0.4993,4
7-10,7+,very_high,neutral,8,0,0.0,0.0,0.0,0.0,0.4993,4
7-10,7+,very_high,strong_disadvantage,4,0,0.0,0.0,0.0,0.0,0.4993,4
